Campaign Name,Ad Group Name,Targeting,Match Type,Current Bid,Proposed Bid,Change (%),Action,Clicks,Impressions,Cost,Sales,Orders,ACOS (%),CVR (%),CPC,Target ACOS (%),Confidence,Rationale
"SP Manual Keywords NYL Flat Paint Brush","SP Manual Keywords NYL Flat Paint Brush","pennello piatto",PHRASE,0.48,0.36,-25.0,decrease,92,0,38.21,125.61,12,30.4,13.04,0.42,20,OK,"ACOS 30.4% exceeds target range (16%-22%). CVR: 13.04%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.48 × (20/30.4) = 0.32, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 12ml","pittura ad olio",EXACT,0.36,0.27,-25.0,decrease,70,0,24.82,74.06,5,33.5,7.14,0.35,20,OK,"ACOS 33.5% exceeds target range (16%-22%). CVR: 7.14%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/33.5) = 0.21, capped at -25%."
"Lineal MANUAL KEYWORDS","Lineal MANUAL 60CM","righello per patchwork",EXACT,0.36,0.27,-25.0,decrease,72,0,27.04,53.13,4,50.9,5.56,0.38,20,OK,"ACOS 50.9% exceeds target range (16%-22%). CVR: 5.56%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/50.9) = 0.14, capped at -25%."
"Lineal MANUAL KEYWORDS","Lineal MANUAL 30CM","righello x cucito",BROAD,0.28,0.21,-25.0,decrease,140,0,49.13,125.72,14,39.1,10.00,0.35,20,Good,"ACOS 39.1% exceeds target range (16%-22%). CVR: 10.00%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/39.1) = 0.14, capped at -25%."
"Rotary Cutter - Manual - Exact - JA (keep running till regular MANUAL gets more clicks)","Rotary Cutter - Manual - Exact - JA","rotella taglia tessuti",EXACT,0.36,0.27,-25.0,decrease,98,0,33.74,117.60,12,28.7,12.24,0.34,20,OK,"ACOS 28.7% exceeds target range (16%-22%). CVR: 12.24%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/28.7) = 0.25, capped at -25%."
"Rotary cutter MANUAL KEY","Rotary cutter MANUAL KEY","rotella taglio stoffa",BROAD,0.28,0.21,-25.0,decrease,35,0,10.71,19.60,2,54.6,5.71,0.31,20,OK,"ACOS 54.6% exceeds target range (16%-22%). CVR: 5.71%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/54.6) = 0.10, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 50ml","set colori ad olio",BROAD,0.56,0.42,-25.0,decrease,153,0,80.99,190.72,6,42.5,3.92,0.53,20,Good,"ACOS 42.5% exceeds target range (16%-22%). CVR: 3.92%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.56 × (20/42.5) = 0.26, capped at -25%."
"Books MANUAL","Water MANUAL","sketchbook acquerello",PHRASE,0.28,0.21,-25.0,decrease,77,0,24.00,20.86,2,115.1,2.60,0.31,20,OK,"ACOS 115.1% exceeds target range (16%-22%). CVR: 2.60%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/115.1) = 0.05, capped at -25%."
"Lineal MANUAL KEYWORDS","Lineal MANUAL 30CM","squadra cucito",EXACT,0.28,0.21,-25.0,decrease,31,0,8.28,17.96,2,46.1,6.45,0.27,20,OK,"ACOS 46.1% exceeds target range (16%-22%). CVR: 6.45%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/46.1) = 0.12, capped at -25%."
"Lineal AUTOKEY","Lineal 30CM AUTOKEY","substitutes",TARGETING_EXPRESSION_PREDEFINED,0.12,0.09,-25.0,decrease,54,0,6.19,15.22,1,40.7,1.85,0.11,20,OK,"ACOS 40.7% exceeds target range (16%-22%). CVR: 1.85%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.12 × (20/40.7) = 0.06, capped at -25%."
"Rotary cutter MANUAL KEY","Rotary cutter MANUAL KEY","taglierino circolare",BROAD,0.28,0.21,-25.0,decrease,69,0,25.31,38.38,4,65.9,5.80,0.37,20,OK,"ACOS 65.9% exceeds target range (16%-22%). CVR: 5.80%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/65.9) = 0.08, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat MANUAL ALL","tappetino da taglio autorigenerante",BROAD,0.36,0.27,-25.0,decrease,80,0,33.22,40.04,3,83.0,3.75,0.42,20,OK,"ACOS 83.0% exceeds target range (16%-22%). CVR: 3.75%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/83.0) = 0.09, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat Large","tappetino da taglio autorigenerante grande",BROAD,0.56,0.42,-25.0,decrease,37,0,20.24,27.01,1,74.9,2.70,0.55,20,OK,"ACOS 74.9% exceeds target range (16%-22%). CVR: 2.70%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.56 × (20/74.9) = 0.15, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat A0 120x90","tappetino per taglio 90x120",BROAD,0.96,0.72,-25.0,decrease,30,0,25.51,26.47,1,96.4,3.33,0.85,20,OK,"ACOS 96.4% exceeds target range (16%-22%). CVR: 3.33%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.96 × (20/96.4) = 0.20, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat A0","tappetino per taglio a0",BROAD,0.96,0.72,-25.0,decrease,61,0,48.15,84.30,1,57.1,1.64,0.79,20,OK,"ACOS 57.1% exceeds target range (16%-22%). CVR: 1.64%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.96 × (20/57.1) = 0.34, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat A1","tappetino taglio a1",PHRASE,0.56,0.42,-25.0,decrease,70,0,45.23,153.92,4,29.4,5.71,0.65,20,OK,"ACOS 29.4% exceeds target range (16%-22%). CVR: 5.71%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.56 × (20/29.4) = 0.38, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat Large","tappetino taglio autorigenerante grande",BROAD,0.56,0.42,-25.0,decrease,48,0,26.37,38.48,1,68.5,2.08,0.55,20,OK,"ACOS 68.5% exceeds target range (16%-22%). CVR: 2.08%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.56 × (20/68.5) = 0.16, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat Large","tappeto per taglio grande",BROAD,0.56,0.42,-25.0,decrease,30,0,16.73,27.01,1,61.9,3.33,0.56,20,OK,"ACOS 61.9% exceeds target range (16%-22%). CVR: 3.33%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.56 × (20/61.9) = 0.18, capped at -25%."
"Canvas Panel MANUAL Detail","Canvas Panel MANUAL 50x70","tela 50x70",BROAD,0.68,0.51,-25.0,decrease,31,0,17.91,50.78,1,35.3,3.23,0.58,20,OK,"ACOS 35.3% exceeds target range (16%-22%). CVR: 3.23%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.68 × (20/35.3) = 0.39, capped at -25%."
"Paint MANUAL WATER","Paint MANUAL WATER","watercolor",BROAD,0.28,0.21,-25.0,decrease,42,0,13.62,11.80,1,115.4,2.38,0.32,20,OK,"ACOS 115.4% exceeds target range (16%-22%). CVR: 2.38%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/115.4) = 0.05, capped at -25%."
"SP Cutting Mat CAT DETAIL","Cutting Mat A0","category=""Tappetini per taglio""",TARGETING_EXPRESSION,0.61,0.46,-24.6,decrease,299,0,185.93,525.97,9,35.3,3.01,0.62,20,Good,"ACOS 35.3% exceeds target range (16%-22%). CVR: 3.01%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.61 × (20/35.3) = 0.35, capped at -25%."
"Premium Stretched Canvas CAT Detail","Premium Stretched Canvas CAT 40x60","category=""Tele intelaiate per artisti""",TARGETING_EXPRESSION,0.61,0.46,-24.6,decrease,94,0,60.48,96.64,2,62.6,2.13,0.64,20,OK,"ACOS 62.6% exceeds target range (16%-22%). CVR: 2.13%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.61 × (20/62.6) = 0.19, capped at -25%."
"SP Manual General Keywords ALL Paint Brush","SP Manual General Keywords Paint Brush - 12 SETS + 24 NYLON","pennelli",EXACT,0.61,0.46,-24.6,decrease,68,0,42.22,117.53,7,35.9,10.29,0.62,20,OK,"ACOS 35.9% exceeds target range (16%-22%). CVR: 10.29%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.61 × (20/35.9) = 0.34, capped at -25%."
"Premium Stretched Canvas AUTO DETAIL","Premium Stretched Canvas AUTO 50x50","substitutes",TARGETING_EXPRESSION_PREDEFINED,0.61,0.46,-24.6,decrease,37,0,23.41,61.39,2,38.1,5.41,0.63,20,OK,"ACOS 38.1% exceeds target range (16%-22%). CVR: 5.41%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.61 × (20/38.1) = 0.32, capped at -25%."
"Canvas Panel MANUAL Detail","Canvas Panel MANUAL 30x30","tela 30x30",BROAD,0.61,0.46,-24.6,decrease,47,0,21.54,58.89,3,36.6,6.38,0.46,20,OK,"ACOS 36.6% exceeds target range (16%-22%). CVR: 6.38%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.61 × (20/36.6) = 0.33, capped at -25%."
"Canvas Panel MANUAL Detail","Canvas Panel MANUAL 30x40","tele 30x40",BROAD,0.61,0.46,-24.6,decrease,85,0,51.39,49.10,2,104.7,2.35,0.60,20,OK,"ACOS 104.7% exceeds target range (16%-22%). CVR: 2.35%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.61 × (20/104.7) = 0.12, capped at -25%."
"Canvas Panel MANUAL Detail","Canvas Panel MANUAL 30x40","tele dipingere 30x40",BROAD,0.61,0.46,-24.6,decrease,85,0,55.12,177.91,6,31.0,7.06,0.65,20,OK,"ACOS 31.0% exceeds target range (16%-22%). CVR: 7.06%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.61 × (20/31.0) = 0.39, capped at -25%."
"SP CAT HOG Bright Paint Brush","SP CAT HOG Bright Paint Brush","category=""Set di pennelli da pittura""",TARGETING_EXPRESSION,0.41,0.31,-24.4,decrease,45,0,17.80,65.22,6,27.3,13.33,0.40,20,OK,"ACOS 27.3% exceeds target range (16%-22%). CVR: 13.33%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/27.3) = 0.30, capped at -25%."
"SP CAT HOG Filbert Paint Brush","SP CAT HOG Filbert Paint Brush","category=""Set di pennelli da pittura""",TARGETING_EXPRESSION,0.41,0.31,-24.4,decrease,34,0,13.47,9.80,1,137.4,2.94,0.40,20,OK,"ACOS 137.4% exceeds target range (16%-22%). CVR: 2.94%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/137.4) = 0.06, capped at -25%."
"Premium Stretched Canvas AUTO DETAIL","Premium Stretched Canvas AUTO 80x120","close-match",TARGETING_EXPRESSION_PREDEFINED,0.78,0.59,-24.4,decrease,33,0,25.68,54.06,1,47.5,3.03,0.78,20,OK,"ACOS 47.5% exceeds target range (16%-22%). CVR: 3.03%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.78 × (20/47.5) = 0.33, capped at -25%."
"SP AUTO NYL Round Paint Brush","SP AUTO NYL Round Paint Brush","close-match",TARGETING_EXPRESSION_PREDEFINED,0.41,0.31,-24.4,decrease,33,0,12.53,24.48,3,51.2,9.09,0.38,20,OK,"ACOS 51.2% exceeds target range (16%-22%). CVR: 9.09%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/51.2) = 0.16, capped at -25%."
"SP AUTO HOG Angled Paint Brush","SP AUTO HOG Angled Paint Brush","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.41,0.31,-24.4,decrease,37,0,13.81,8.98,1,153.8,2.70,0.37,20,OK,"ACOS 153.8% exceeds target range (16%-22%). CVR: 2.70%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/153.8) = 0.05, capped at -25%."
"SP AUTO HOG Bright Paint Brush","SP AUTO HOG Bright Paint Brush","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.41,0.31,-24.4,decrease,157,0,62.30,178.34,18,34.9,11.46,0.40,20,Good,"ACOS 34.9% exceeds target range (16%-22%). CVR: 11.46%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/34.9) = 0.23, capped at -25%."
"SP AUTO HOG Filbert Paint Brush","SP AUTO HOG Filbert Paint Brush","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.41,0.31,-24.4,decrease,66,0,26.55,49.63,5,53.5,7.58,0.40,20,OK,"ACOS 53.5% exceeds target range (16%-22%). CVR: 7.58%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/53.5) = 0.15, capped at -25%."
"SP AUTO HOG Flat Paint Brush","SP AUTO HOG Flat Paint Brush","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.41,0.31,-24.4,decrease,46,0,18.24,61.76,7,29.5,15.22,0.40,20,OK,"ACOS 29.5% exceeds target range (16%-22%). CVR: 15.22%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/29.5) = 0.28, capped at -25%."
"SP AUTO HOG Paint Brush Set 12S","SP AUTO HOG Paint Brush Set 12S","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.41,0.31,-24.4,decrease,42,0,17.62,29.40,3,59.9,7.14,0.42,20,OK,"ACOS 59.9% exceeds target range (16%-22%). CVR: 7.14%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/59.9) = 0.14, capped at -25%."
"SP Manual General Keywords ALL Paint Brush","SP Manual General Keywords Paint Brush - SHAPES","pennelli per pittura",BROAD,0.41,0.31,-24.4,decrease,54,0,21.96,32.64,4,67.3,7.41,0.41,20,OK,"ACOS 67.3% exceeds target range (16%-22%). CVR: 7.41%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/67.3) = 0.12, capped at -25%."
"SP Manual General Keywords ALL Paint Brush","SP Manual General Keywords Paint Brush - SHAPES","pennello dipingere",BROAD,0.41,0.31,-24.4,decrease,40,0,16.63,24.14,3,68.9,7.50,0.42,20,OK,"ACOS 68.9% exceeds target range (16%-22%). CVR: 7.50%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/68.9) = 0.12, capped at -25%."
"Slices MANUAL","Slices MANUAL 8","piccolo legno",BROAD,0.41,0.31,-24.4,decrease,55,0,24.04,17.99,1,133.6,1.82,0.44,20,OK,"ACOS 133.6% exceeds target range (16%-22%). CVR: 1.82%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.41 × (20/133.6) = 0.06, capped at -25%."
"Paint MANUAL WATER","Paint MANUAL WATER","aquarelli",BROAD,0.33,0.25,-24.2,decrease,139,0,54.27,106.94,8,50.7,5.76,0.39,20,Good,"ACOS 50.7% exceeds target range (16%-22%). CVR: 5.76%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/50.7) = 0.13, capped at -25%."
"Books MANUAL","Water MANUAL","carta da acquerello a4",BROAD,0.33,0.25,-24.2,decrease,63,0,22.17,62.08,5,35.7,7.94,0.35,20,OK,"ACOS 35.7% exceeds target range (16%-22%). CVR: 7.94%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/35.7) = 0.18, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 12ml","colori ad olio",BROAD,0.33,0.25,-24.2,decrease,164,0,56.30,108.75,6,51.8,3.66,0.34,20,Good,"ACOS 51.8% exceeds target range (16%-22%). CVR: 3.66%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/51.8) = 0.13, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 12ml","colori olio",PHRASE,0.33,0.25,-24.2,decrease,46,0,15.19,27.78,2,54.7,4.35,0.33,20,OK,"ACOS 54.7% exceeds target range (16%-22%). CVR: 4.35%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/54.7) = 0.12, capped at -25%."
"Paint MANUAL GOUACHE","Paint MANUAL GOUACHE","guache pittura",BROAD,0.33,0.25,-24.2,decrease,57,0,19.51,55.56,4,35.1,7.02,0.34,20,OK,"ACOS 35.1% exceeds target range (16%-22%). CVR: 7.02%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/35.1) = 0.19, capped at -25%."
"Premium Stretched Canvas AUTO DETAIL","Premium Stretched Canvas AUTO 60x90","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.66,0.50,-24.2,decrease,40,0,24.38,54.88,1,44.4,2.50,0.61,20,OK,"ACOS 44.4% exceeds target range (16%-22%). CVR: 2.50%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.66 × (20/44.4) = 0.30, capped at -25%."
"Lineal MANUAL KEYWORDS","Lineal MANUAL 30CM","morgantina",EXACT,0.33,0.25,-24.2,decrease,91,0,29.47,63.68,7,46.3,7.69,0.32,20,OK,"ACOS 46.3% exceeds target range (16%-22%). CVR: 7.69%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/46.3) = 0.14, capped at -25%."
"Books MANUAL","Water MANUAL","quaderno bianco a4",BROAD,0.33,0.25,-24.2,decrease,62,0,20.61,35.94,3,57.3,4.84,0.33,20,OK,"ACOS 57.3% exceeds target range (16%-22%). CVR: 4.84%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/57.3) = 0.12, capped at -25%."
"Lineal MANUAL KEYWORDS","Lineal MANUAL 30CM","righelli da cucito",BROAD,0.33,0.25,-24.2,decrease,227,0,75.27,215.19,21,35.0,9.25,0.33,20,Good,"ACOS 35.0% exceeds target range (16%-22%). CVR: 9.25%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/35.0) = 0.19, capped at -25%."
"Lineal MANUAL KEYWORDS","Lineal MANUAL 60CM","righelli per cucito",PHRASE,0.33,0.25,-24.2,decrease,37,0,13.78,8.98,1,153.5,2.70,0.37,20,OK,"ACOS 153.5% exceeds target range (16%-22%). CVR: 2.70%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/153.5) = 0.04, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat MANUAL ALL","tappetino per taglierino",EXACT,0.33,0.25,-24.2,decrease,58,0,21.44,61.81,4,34.7,6.90,0.37,20,OK,"ACOS 34.7% exceeds target range (16%-22%). CVR: 6.90%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.33 × (20/34.7) = 0.19, capped at -25%."
"SP CAT HOG Bright Paint Brush","SP CAT HOG Bright Paint Brush","category=""Pennellesse""",TARGETING_EXPRESSION,0.46,0.35,-23.9,decrease,57,0,25.66,52.33,5,49.0,8.77,0.45,20,OK,"ACOS 49.0% exceeds target range (16%-22%). CVR: 8.77%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/49.0) = 0.19, capped at -25%."
"Premium Stretched Canvas CAT Detail","Premium Stretched Canvas CAT 60x90","category=""Tele intelaiate per artisti""",TARGETING_EXPRESSION,0.46,0.35,-23.9,decrease,44,0,20.19,24.55,1,82.2,2.27,0.46,20,OK,"ACOS 82.2% exceeds target range (16%-22%). CVR: 2.27%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/82.2) = 0.11, capped at -25%."
"SP AUTO HOG Filbert Paint Brush","SP AUTO HOG Filbert Paint Brush","close-match",TARGETING_EXPRESSION_PREDEFINED,0.46,0.35,-23.9,decrease,113,0,41.40,107.58,12,38.5,10.62,0.37,20,Good,"ACOS 38.5% exceeds target range (16%-22%). CVR: 10.62%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/38.5) = 0.24, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 50ml","colori olio",BROAD,0.46,0.35,-23.9,decrease,404,0,185.09,616.53,16,30.0,3.96,0.46,20,High,"ACOS 30.0% exceeds target range (16%-22%). CVR: 3.96%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/30.0) = 0.31, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 50ml","colori olio pittura su tela",PHRASE,0.46,0.35,-23.9,decrease,44,0,21.46,56.47,2,38.0,4.55,0.49,20,OK,"ACOS 38.0% exceeds target range (16%-22%). CVR: 4.55%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/38.0) = 0.24, capped at -25%."
"Canvas Panel AUTO Detail","Canvas Panel AUTO 50x60","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.46,0.35,-23.9,decrease,67,0,36.32,107.25,3,33.9,4.48,0.54,20,OK,"ACOS 33.9% exceeds target range (16%-22%). CVR: 4.48%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/33.9) = 0.27, capped at -25%."
"SP Manual Keywords NYL Round Paint Brush","SP Manual Keywords NYL Round Paint Brush","pennelli sintetici punta tonda",BROAD,0.46,0.35,-23.9,decrease,45,0,18.07,24.48,3,73.8,6.67,0.40,20,OK,"ACOS 73.8% exceeds target range (16%-22%). CVR: 6.67%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/73.8) = 0.12, capped at -25%."
"SP Manual Keywords NYL Round Paint Brush","SP Manual Keywords NYL Round Paint Brush","pennelli tondi",BROAD,0.46,0.35,-23.9,decrease,47,0,19.50,46.53,5,41.9,10.64,0.41,20,OK,"ACOS 41.9% exceeds target range (16%-22%). CVR: 10.64%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/41.9) = 0.22, capped at -25%."
"SP Manual Keywords NYL Round Paint Brush","SP Manual Keywords NYL Round Paint Brush","pennello punta tonda",PHRASE,0.46,0.35,-23.9,decrease,33,0,13.76,8.16,1,168.6,3.03,0.42,20,OK,"ACOS 168.6% exceeds target range (16%-22%). CVR: 3.03%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/168.6) = 0.05, capped at -25%."
"SP Manual Keywords HOG Fan Paint Brush","SP Manual Keywords HOG Fan Paint Brush","pennello ventaglio",BROAD,0.46,0.35,-23.9,decrease,64,0,27.10,32.64,4,83.0,6.25,0.42,20,OK,"ACOS 83.0% exceeds target range (16%-22%). CVR: 6.25%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/83.0) = 0.11, capped at -25%."
"Premium Stretched Canvas MANUAL ALL","Premium Stretched Canvas MANUAL ALL","tele",PHRASE,0.46,0.35,-23.9,decrease,37,0,17.03,34.39,1,49.5,2.70,0.46,20,OK,"ACOS 49.5% exceeds target range (16%-22%). CVR: 2.70%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.46 × (20/49.5) = 0.19, capped at -25%."
"Books MANUAL","Water MANUAL","acquerello",BROAD,0.21,0.16,-23.8,decrease,54,0,10.28,30.46,3,33.7,5.56,0.19,20,OK,"ACOS 33.7% exceeds target range (16%-22%). CVR: 5.56%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.21 × (20/33.7) = 0.12, capped at -25%."
"SP Cutting Mat AUTO DETAIL","Cutting Mat A4","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.21,0.16,-23.8,decrease,55,0,10.13,26.94,3,37.6,5.45,0.18,20,OK,"ACOS 37.6% exceeds target range (16%-22%). CVR: 5.45%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.21 × (20/37.6) = 0.11, capped at -25%."
"Paint MANUAL WATER","Paint MANUAL WATER","acquarelli set",BROAD,0.38,0.29,-23.7,decrease,52,0,21.19,41.67,3,50.9,5.77,0.41,20,OK,"ACOS 50.9% exceeds target range (16%-22%). CVR: 5.77%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.38 × (20/50.9) = 0.15, capped at -25%."
"Slices Product Target","Slices Product Target","asin=""B0CV7XS8H7""",TARGETING_EXPRESSION,0.38,0.29,-23.7,decrease,37,0,13.45,27.01,1,49.8,2.70,0.36,20,OK,"ACOS 49.8% exceeds target range (16%-22%). CVR: 2.70%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.38 × (20/49.8) = 0.15, capped at -25%."
"Canvas Panel MANUAL ALL","Canvas Panel MANUAL ALL","cartone telato",BROAD,0.38,0.29,-23.7,decrease,33,0,11.91,16.35,1,72.8,3.03,0.36,20,OK,"ACOS 72.8% exceeds target range (16%-22%). CVR: 3.03%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.38 × (20/72.8) = 0.10, capped at -25%."
"Paint AUTO OIL","Paint AUTO OIL 50ml","close-match",TARGETING_EXPRESSION_PREDEFINED,0.38,0.29,-23.7,decrease,77,0,29.40,40.12,1,73.3,1.30,0.38,20,OK,"ACOS 73.3% exceeds target range (16%-22%). CVR: 1.30%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.38 × (20/73.3) = 0.10, capped at -25%."
"Paint MANUAL WATER","Paint MANUAL WATER","kit colori acquerello",BROAD,0.38,0.29,-23.7,decrease,40,0,14.65,13.89,1,105.5,2.50,0.37,20,OK,"ACOS 105.5% exceeds target range (16%-22%). CVR: 2.50%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.38 × (20/105.5) = 0.07, capped at -25%."
"SP Manual General Keywords ALL Paint Brush","SP Manual General Keywords Paint Brush - SHAPES","pennello",BROAD,0.38,0.29,-23.7,decrease,291,0,101.69,246.76,26,41.2,8.93,0.35,20,Good,"ACOS 41.2% exceeds target range (16%-22%). CVR: 8.93%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.38 × (20/41.2) = 0.18, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat MANUAL ALL","tappeto per taglio",BROAD,0.38,0.29,-23.7,decrease,415,0,180.12,660.88,33,27.3,7.95,0.43,20,High,"ACOS 27.3% exceeds target range (16%-22%). CVR: 7.95%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.38 × (20/27.3) = 0.28, capped at -25%."
"Stretched Canvas MANUAL ALL","Stretched Canvas MANUAL ALL","tela",PHRASE,0.38,0.29,-23.7,decrease,449,0,186.09,262.60,10,70.9,2.23,0.41,20,High,"ACOS 70.9% exceeds target range (16%-22%). CVR: 2.23%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.38 × (20/70.9) = 0.11, capped at -25%."
"Paint MANUAL WATER","Paint MANUAL WATER","tubetti acquerello",BROAD,0.38,0.29,-23.7,decrease,310,0,102.88,395.70,28,26.0,9.03,0.33,20,High,"ACOS 26.0% exceeds target range (16%-22%). CVR: 9.03%. Decreasing bid by 23.1% to improve efficiency. Formula: 0.38 × (20/26.0) = 0.29, capped at -25%."
"SP-PT Cutting Mat LA CANILLA","Cutting Mat LA CANILLA","asin=""B07W8VVWXF""",TARGETING_EXPRESSION,0.51,0.39,-23.5,decrease,197,0,82.27,310.92,13,26.5,6.60,0.42,20,Good,"ACOS 26.5% exceeds target range (16%-22%). CVR: 6.60%. Decreasing bid by 24.4% to improve efficiency. Formula: 0.51 × (20/26.5) = 0.39, capped at -25%."
"Paint MANUAL WATER","Paint MANUAL WATER","acquerello",BROAD,0.26,0.20,-23.1,decrease,49,0,13.42,39.58,3,33.9,6.12,0.27,20,OK,"ACOS 33.9% exceeds target range (16%-22%). CVR: 6.12%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.26 × (20/33.9) = 0.15, capped at -25%."
"Books MANUAL","Water MANUAL","carta acquerello",BROAD,0.26,0.20,-23.1,decrease,190,0,54.33,141.37,10,38.4,5.26,0.29,20,Good,"ACOS 38.4% exceeds target range (16%-22%). CVR: 5.26%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.26 × (20/38.4) = 0.14, capped at -25%."
