Campaign Name,Ad Group Name,Targeting,Match Type,Current Bid,Proposed Bid,Change (%),Action,Clicks,Impressions,Cost,Sales,Orders,ACOS (%),CVR (%),CPC,Target ACOS (%),Confidence,Rationale
"SP Manual Keywords HOG Flat Paint Brush","SP Manual Keywords HOG Flat Paint Brush","pennelli a punta piatta",BROAD,0.51,0.38,-25.5,decrease,77,0,31.56,26.76,3,117.9,3.90,0.41,20,OK,"ACOS 117.9% exceeds target range (16%-22%). CVR: 3.90%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/117.9) = 0.09, capped at -25%."
"SP Manual General Keywords ALL Paint Brush","SP Manual General Keywords Paint Brush - 12 SETS + 24 NYLON","pennelli da pittura",BROAD,0.51,0.38,-25.5,decrease,44,0,23.42,45.17,5,51.8,11.36,0.53,20,OK,"ACOS 51.8% exceeds target range (16%-22%). CVR: 11.36%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/51.8) = 0.20, capped at -25%."
"SP Manual General Keywords ALL Paint Brush","SP Manual General Keywords Paint Brush - 12 SETS + 24 NYLON","pennelli per dipingere",BROAD,0.51,0.38,-25.5,decrease,60,0,30.45,68.20,7,44.6,11.67,0.51,20,OK,"ACOS 44.6% exceeds target range (16%-22%). CVR: 11.67%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/44.6) = 0.23, capped at -25%."
"SP Manual Keywords HOG Flat Paint Brush","SP Manual Keywords HOG Flat Paint Brush","pennelli piatti",BROAD,0.51,0.38,-25.5,decrease,83,0,38.85,129.65,9,30.0,10.84,0.47,20,OK,"ACOS 30.0% exceeds target range (16%-22%). CVR: 10.84%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/30.0) = 0.34, capped at -25%."
"SP Manual Keywords HOG Round Paint Brush","SP Manual Keywords HOG Round Paint Brush","pennelli punta tonda",BROAD,0.51,0.38,-25.5,decrease,87,0,41.41,44.90,5,92.2,5.75,0.48,20,OK,"ACOS 92.2% exceeds target range (16%-22%). CVR: 5.75%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/92.2) = 0.11, capped at -25%."
"SP Manual Keywords NYL Round Paint Brush","SP Manual Keywords NYL Round Paint Brush","pennelli punta tonda",BROAD,0.51,0.38,-25.5,decrease,37,0,16.35,32.64,4,50.1,10.81,0.44,20,OK,"ACOS 50.1% exceeds target range (16%-22%). CVR: 10.81%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/50.1) = 0.20, capped at -25%."
"SP Manual General Keywords ALL Paint Brush","SP Manual General Keywords Paint Brush - 12 SETS + 24 NYLON","pennello",BROAD,0.51,0.38,-25.5,decrease,394,0,179.98,319.67,29,56.3,7.36,0.46,20,High,"ACOS 56.3% exceeds target range (16%-22%). CVR: 7.36%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/56.3) = 0.18, capped at -25%."
"SP Manual Keywords HOG Filbert Paint Brush","SP Manual Keywords HOG Filbert Paint Brush","pennello lingua di gatto",BROAD,0.51,0.38,-25.5,decrease,126,0,46.03,57.12,6,80.6,4.76,0.37,20,Good,"ACOS 80.6% exceeds target range (16%-22%). CVR: 4.76%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/80.6) = 0.13, capped at -25%."
"SP Manual Keywords HOG Filbert Paint Brush","SP Manual Keywords HOG Filbert Paint Brush","pennello lingua di gatto",PHRASE,0.51,0.38,-25.5,decrease,95,0,25.18,55.84,7,45.1,7.37,0.27,20,OK,"ACOS 45.1% exceeds target range (16%-22%). CVR: 7.37%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/45.1) = 0.23, capped at -25%."
"SP Manual General Keywords ALL Paint Brush","SP Manual General Keywords Paint Brush - 12 SETS + 24 NYLON","pennello per dipingere",PHRASE,0.51,0.38,-25.5,decrease,42,0,21.98,32.41,3,67.8,7.14,0.52,20,OK,"ACOS 67.8% exceeds target range (16%-22%). CVR: 7.14%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/67.8) = 0.15, capped at -25%."
