State,Campaigns,Status,Type,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(EUR),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(EUR),CPC(EUR),DPV,Orders,Sales(EUR),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(EUR),% of sales NTB,Viewable impressions,VCPM(EUR),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(EUR)
ENABLED,Cutting Mat MANUAL A1 Braun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,39.6551724137931%,CPC,60,3,0.05,1.35,0.45,0,1,31.05,0.0435,23,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Dunkelblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,>95%,CPC,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Dunkelgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Dunkelgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Grau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,33.269598470363285%,CPC,10339,82,0.0079,63.66,0.78,0,25,729.82,0.0872,11.4643,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Grun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,31.72043010752688%,CPC,2215,15,0.0068,16.08,1.07,0,8,203.46,0.079,12.653,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Hellblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,50.0%,CPC,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Hellgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,32.0%,CPC,21,1,0.0476,0.89,0.89,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Hellgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,21.428571428571427%,CPC,6,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Pink,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,49.43820224719101%,CPC,2523,18,0.0071,17.52,0.97,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Purple,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,35.95505617977528%,CPC,873,2,0.0023,2.48,1.24,0,1,31.05,0.0799,12.5202,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A1 Taupe,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,27.77777777777778%,CPC,16,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Beige,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,33.33333333333333%,CPC,35,1,0.0286,0.46,0.46,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Black,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,35.53500660501982%,CPC,2268,52,0.0229,43.40,0.83,0,13,273.80,0.1585,6.3088,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Blau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,35.177865612648226%,CPC,666,12,0.018,11.83,0.99,0,4,86.80,0.1363,7.3373,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Braun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,25.806451612903224%,CPC,18,1,0.0556,0.51,0.51,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Dunkelblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,37.93103448275862%,CPC,19,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Dunkelgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,20.0%,CPC,3,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Dunkelgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,66.66666666666666%,CPC,5,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Grau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,33.85416666666667%,CPC,1523,30,0.0197,21.31,0.71,0,8,174.04,0.1224,8.1671,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Grun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,22.110552763819097%,CPC,1258,15,0.0119,14.52,0.97,0,2,43.62,0.3329,3.0041,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A2 Hellblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,40.0%,CPC,41,1,0.0244,0.80,0.80,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
